step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,2.0,2.0,2.0,2.0,2.0,3.16,0.72,0.2278,11.491,1.822,79.93,6.49,79.929,64.884,20.07,3.51,6.12,17.66,100.0,100.0,6.26,4.83,15.91,2.0,41.074,5.84,100.0,44.914,False,,4.4,69.28,0.0,0.0,0.0,3.16,3.16,0.0,0.0,2.25,2.0,0.0,68.433,80.74,100.0,100.0,40.198,100.0,27.373,6.0,0.0,67.231,79.499,100.0,100.0,38.134,100.0,26.892,1.68,1.566,64.077,77.578,0.0,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,3.0,5.0,5.0,5.0,5.0,5.0,0.0,0.28,0.2844,10.349,2.613,81.56,6.79,81.56,67.914,18.44,3.21,4.94,15.08,100.0,100.0,7.05,4.61,15.34,2.1,43.187,5.84,100.0,27.166,False,,0.0,68.413,-3.16,0.0,0.0,1.58,3.16,0.0,0.0,1.46,2.0,0.0,67.328,80.32,100.0,100.0,40.516,67.383,26.931,4.0,0.0,66.593,78.916,100.0,100.0,37.777,51.417,26.637,6.72,0.515,65.484,78.989,0.16,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,4.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,1.68,3.903,80.97,6.82,80.973,68.23,19.03,3.18,6.27,17.99,100.0,100.0,6.83,4.44,15.73,2.03,41.724,5.52,100.0,27.292,False,,0.0,68.215,0.0,-3.16,0.0,1.053,3.16,0.0,0.0,1.38,2.0,0.0,67.079,80.06,100.0,100.0,39.784,62.592,26.832,5.0,0.0,68.139,79.615,100.0,100.0,37.071,100.0,27.256,1.68,2.356,65.554,78.813,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,0.0,1.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.617,80.33,6.82,80.326,68.155,19.67,3.18,4.48,14.06,100.0,100.0,6.55,4.3,16.15,1.95,40.191,5.04,73.767,27.262,False,,0.0,65.559,0.0,0.0,0.0,0.79,3.16,0.0,0.0,1.26,5.0,0.0,66.722,79.573,100.0,100.0,38.217,57.8,26.689,2.0,0.0,66.651,79.221,100.0,100.0,37.618,46.633,26.66,0.0,2.093,64.963,78.349,0.0,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,2.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,3.36,1.592,80.74,6.84,80.74,68.433,19.26,3.16,6.27,17.99,100.0,100.0,6.66,4.19,16.15,1.95,40.198,4.88,100.0,27.373,False,,0.0,68.067,0.0,0.0,-3.16,0.632,3.16,4.0,-0.96,1.22,5.0,0.0,67.231,79.499,100.0,100.0,38.134,100.0,26.892,2.0,0.0,66.459,78.524,100.0,99.179,37.165,41.842,26.584,6.72,2.304,67.439,79.205,0.16,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,2.12,80.32,6.73,80.32,67.328,19.68,3.27,6.26,17.96,100.0,100.0,6.84,4.09,16.06,1.97,40.516,4.4,67.383,26.931,False,,0.0,64.847,0.0,0.0,0.0,0.527,3.16,-2.0,-1.44,1.1,3.0,0.0,66.593,78.916,100.0,100.0,37.777,51.417,26.637,3.0,0.0,65.923,78.198,100.0,100.0,38.846,37.05,26.369,3.36,1.976,68.479,79.447,0.0,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,0.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.141,80.06,6.71,80.06,67.079,19.94,3.29,6.27,17.99,100.0,100.0,6.73,4.01,16.26,1.93,39.784,3.93,62.592,26.832,False,,0.0,64.243,0.0,0.0,0.0,0.451,3.16,-4.0,-1.59,0.982,3.0,0.0,68.139,79.615,100.0,100.0,37.071,100.0,27.256,5.0,0.0,65.737,77.841,100.0,98.317,37.74,32.258,26.295,3.36,3.165,68.719,79.472,0.0,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,0.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,2.092,79.57,6.67,79.573,66.722,20.43,3.33,6.27,17.99,100.0,100.0,6.37,3.94,16.68,1.86,38.217,3.45,57.8,26.689,False,,0.0,63.492,0.0,0.0,0.0,0.395,3.16,-4.0,-1.59,0.862,0.0,0.0,66.651,79.221,100.0,100.0,37.618,46.633,26.66,8.0,0.0,65.423,77.852,100.0,98.331,36.925,54.667,26.169,3.36,2.595,70.147,79.52,0.0,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,2.0,2.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,3.36,3.452,79.5,6.72,79.499,67.231,20.5,3.28,5.88,17.14,100.0,100.0,6.4,3.9,16.7,1.85,38.134,3.29,100.0,26.892,False,,0.0,67.368,0.0,0.0,0.0,0.351,3.16,-4.0,-1.59,0.822,1.0,0.0,66.459,78.524,100.0,99.179,37.165,41.842,26.584,8.0,0.0,65.27,77.353,100.0,97.933,37.819,24.275,26.108,0.0,2.529,70.147,78.888,0.0,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,0.0,2.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,2.587,78.92,6.66,78.916,66.593,21.08,3.34,4.19,13.42,100.0,100.0,6.35,3.85,16.8,1.84,37.777,2.81,51.417,26.637,False,,0.0,62.708,0.0,0.0,0.0,0.316,3.16,-1.0,-1.59,0.702,1.0,0.0,65.923,78.198,100.0,100.0,38.846,37.05,26.369,9.0,0.0,64.971,77.065,100.0,100.0,39.046,48.933,25.989,5.04,2.018,71.352,79.523,0.0,NORMAL
10,2026-06-01 02:30:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,3.0,3.0,5.0,13.0,13.0,13.0,0.0,0.0,0.0,5.04,1.624,79.62,6.81,79.615,68.139,20.38,3.19,4.63,14.39,100.0,100.0,6.18,3.83,16.99,1.8,37.071,2.81,100.0,27.256,False,,0.0,67.479,0.0,0.0,0.0,0.287,3.16,3.0,-1.12,0.702,2.0,0.0,65.737,77.841,100.0,98.317,37.74,32.258,26.295,12.0,0.0,63.57,76.852,100.0,97.067,39.085,23.333,25.428,0.0,2.42,70.934,78.96,0.0,NORMAL
11,2026-06-01 02:45:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,0.0,3.0,5.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,2.174,79.22,6.67,79.221,66.651,20.78,3.33,4.4,13.89,100.0,100.0,6.36,3.8,16.84,1.83,37.618,2.33,46.633,26.66,False,,0.0,62.341,0.0,0.0,0.0,0.263,3.16,3.0,-1.12,0.582,2.0,0.0,65.423,77.852,100.0,98.331,36.925,54.667,26.169,13.0,0.0,62.549,76.652,100.0,96.815,37.911,23.333,25.019,1.68,2.375,71.532,78.726,0.0,NORMAL
12,2026-06-01 03:00:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,0.0,0.0,3.0,11.0,13.0,13.0,0.0,0.0,0.0,0.0,2.865,78.52,6.65,78.524,66.459,21.48,3.35,6.27,17.99,100.0,99.179,6.27,3.77,16.97,1.81,37.165,1.85,41.842,26.584,False,,0.0,61.579,0.0,0.0,0.0,0.243,3.16,1.0,-1.44,0.462,1.0,0.0,65.27,77.353,100.0,97.933,37.819,24.275,26.108,13.0,0.0,62.444,76.533,100.0,96.665,37.666,48.933,24.978,0.0,2.451,70.807,78.186,0.0,NORMAL
13,2026-06-01 03:15:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,0.0,0.0,3.0,8.0,13.0,13.0,0.0,0.0,0.0,0.0,1.516,78.2,6.59,78.198,65.923,21.8,3.41,4.53,14.17,100.0,100.0,6.75,3.74,16.51,1.89,38.846,1.37,37.05,26.369,False,,0.0,61.219,0.0,0.0,0.0,0.226,3.16,1.0,-1.44,0.342,2.0,0.0,64.971,77.065,100.0,100.0,39.046,48.933,25.989,16.0,0.0,63.504,76.723,100.0,100.0,35.822,74.533,25.402,3.36,2.274,72.137,78.324,0.0,NORMAL
14,2026-06-01 03:30:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,0.0,0.0,0.0,7.0,13.0,13.0,0.0,0.0,0.0,0.0,1.504,77.84,6.57,77.841,65.737,22.16,3.43,6.27,17.99,100.0,98.317,6.47,3.71,16.81,1.83,37.74,0.89,32.258,26.295,False,,0.0,60.37,0.0,0.0,0.0,0.211,3.16,-5.0,-1.92,0.222,3.0,0.0,63.57,76.852,100.0,97.067,39.085,23.333,25.428,16.0,0.0,64.639,77.273,100.0,97.599,36.595,100.0,25.855,6.72,2.506,73.957,79.196,0.16,NORMAL
