step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,3.92,0.72,0.1837,8.534,0.803,49.67,6.26,80.118,62.596,12.33,3.74,5.73,16.81,94.469,69.547,6.18,4.83,15.99,1.98,40.784,5.68,100.0,48.559,False,,7.3,65.006,0.0,0.0,0.0,3.92,3.92,0.0,0.0,2.4,5.0,0.0,66.081,82.727,86.109,64.783,35.847,100.0,26.432,9.0,0.0,65.344,81.02,88.994,66.1,36.29,81.808,26.137,6.72,3.94,76.235,83.618,0.26,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,2.0,2.0,2.0,0.23,0.35,0.3528,7.872,2.073,50.82,6.57,81.961,65.67,11.18,3.43,6.26,17.98,85.597,64.378,6.54,4.59,15.87,2.0,41.232,5.36,100.0,27.673,False,,0.5,62.021,-3.69,0.0,0.0,2.075,3.92,0.0,0.0,1.398,4.0,0.0,66.795,82.519,85.893,64.62,37.461,91.383,26.718,11.0,0.0,64.52,80.808,84.112,63.28,37.476,78.617,25.808,0.0,3.87,75.872,82.116,0.0,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.02,0.0211,0.393,1.169,50.68,6.51,81.736,65.124,11.32,3.49,6.27,17.99,85.077,64.007,6.21,4.39,16.4,1.91,39.271,4.88,72.158,26.05,False,,0.0,58.925,-0.23,-3.92,0.0,1.383,3.92,0.0,0.0,1.22,4.0,0.0,67.204,82.594,99.103,71.992,35.894,100.0,26.881,12.0,0.0,65.129,81.624,84.961,63.919,37.162,100.0,26.052,1.68,1.813,75.06,82.193,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.36,1.777,51.0,6.59,82.25,65.891,11.0,3.41,5.93,17.24,90.529,67.207,6.16,4.24,16.61,1.87,38.499,4.72,100.0,26.357,False,,0.0,62.666,0.0,-0.23,0.0,1.038,3.92,0.0,0.0,1.18,4.0,0.0,65.326,81.596,84.931,63.897,36.067,59.4,26.131,10.0,0.0,65.236,81.109,84.425,63.516,35.786,73.833,26.095,5.04,2.102,77.202,83.033,0.0,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,4.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,3.36,2.101,51.29,6.61,82.727,66.081,10.71,3.39,6.27,17.99,86.109,64.783,5.56,4.12,17.32,1.74,35.847,4.56,100.0,26.432,False,,0.0,61.749,0.0,0.0,-3.92,0.83,3.92,4.0,-1.12,1.14,5.0,0.0,65.344,81.02,88.994,66.1,36.29,81.808,26.137,9.0,0.0,64.289,80.997,87.616,65.318,35.138,43.442,25.716,6.72,2.288,79.305,84.48,0.16,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,3.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,1.68,1.911,51.16,6.68,82.519,66.795,10.84,3.32,6.27,17.99,85.893,64.62,6.09,4.03,16.89,1.82,37.461,4.24,91.383,26.718,False,,0.0,61.171,0.0,0.0,-0.23,0.692,3.92,3.0,-1.12,1.06,4.0,0.0,64.52,80.808,84.112,63.28,37.476,78.617,25.808,12.0,0.0,65.682,82.085,87.452,65.433,34.56,100.0,26.273,5.04,3.183,80.124,85.097,0.16,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,7.0,9.0,9.0,9.0,0.0,0.0,0.0,3.36,3.01,51.21,6.72,82.594,67.204,10.79,3.28,5.44,16.17,99.103,71.992,5.73,3.96,17.31,1.74,35.894,4.09,100.0,26.881,False,,0.0,64.373,0.0,0.0,0.0,0.593,3.92,5.0,-0.79,1.022,6.0,0.0,65.129,81.624,84.961,63.919,37.162,100.0,26.052,15.0,0.0,65.443,81.324,84.649,63.684,34.316,38.658,26.177,6.437,3.953,82.171,85.768,0.48,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.227,50.59,6.53,81.596,65.326,11.41,3.47,6.27,17.99,84.931,63.897,5.85,3.89,17.26,1.75,36.067,3.61,59.4,26.131,False,,0.0,57.468,0.0,0.0,0.0,0.519,3.92,1.0,-1.11,0.902,4.0,0.0,65.236,81.109,84.425,63.516,35.786,73.833,26.095,17.0,0.0,64.933,80.696,83.995,63.192,34.518,61.067,25.973,5.323,2.532,82.937,86.77,0.32,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,1.68,3.101,50.23,6.53,81.02,65.344,11.77,3.47,5.94,17.27,88.994,66.1,5.97,3.83,17.2,1.76,36.29,3.29,81.808,26.137,False,,0.0,60.133,0.0,0.0,0.0,0.461,3.92,-1.0,-1.27,0.822,4.0,0.0,64.289,80.997,87.616,65.318,35.138,43.442,25.716,17.0,0.0,66.79,81.059,84.373,63.477,33.989,100.0,26.716,3.36,2.449,82.617,87.189,0.17,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,11.0,11.0,11.0,0.0,0.0,0.0,1.68,2.534,50.1,6.45,80.808,64.52,11.9,3.55,6.27,17.99,84.112,63.28,6.35,3.77,16.88,1.82,37.476,2.97,78.617,25.808,False,,0.0,58.817,0.0,0.0,0.0,0.415,3.92,-1.0,-1.27,0.742,7.0,0.0,65.682,82.085,87.452,65.433,34.56,100.0,26.273,18.0,0.0,68.153,81.243,84.565,63.621,34.428,85.083,27.261,3.36,4.958,83.076,86.471,0.01,NORMAL
10,2026-06-01 02:30:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,2.0,3.0,4.0,13.0,13.0,13.0,0.0,0.0,0.0,3.36,1.093,50.61,6.51,81.624,65.129,11.39,3.49,6.27,17.99,84.961,63.919,6.3,3.74,16.97,1.81,37.162,2.81,100.0,26.052,False,,0.0,61.193,0.0,0.0,0.0,0.377,3.92,-3.0,-1.28,0.702,6.0,0.0,65.443,81.324,84.649,63.684,34.316,38.658,26.177,16.0,0.0,67.451,80.371,83.656,62.938,33.54,29.092,26.98,6.072,3.742,83.577,87.33,0.17,NORMAL
11,2026-06-01 02:45:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,3.0,5.0,14.0,14.0,14.0,0.0,0.0,0.0,1.68,2.914,50.29,6.52,81.109,65.236,11.71,3.48,6.27,17.99,84.425,63.516,5.96,3.71,17.34,1.74,35.786,2.49,73.833,26.095,False,,0.0,58.51,0.0,0.0,0.0,0.346,3.92,0.0,-1.12,0.622,6.0,0.0,64.933,80.696,83.995,63.192,34.518,61.067,25.973,17.0,0.0,67.087,80.384,83.67,62.948,32.498,24.3,26.835,0.648,4.975,81.742,85.881,0.0,NORMAL
12,2026-06-01 03:00:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,0.0,1.0,4.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.658,50.22,6.43,80.997,64.289,11.78,3.57,6.03,17.47,87.616,65.318,5.82,3.67,17.51,1.71,35.138,2.01,43.442,25.716,False,,0.0,56.101,0.0,0.0,0.0,0.319,3.92,0.0,-1.28,0.502,5.0,0.0,66.79,81.059,84.373,63.477,33.989,100.0,26.716,20.0,0.0,68.883,81.345,86.987,65.028,33.012,100.0,27.553,3.36,3.335,81.765,85.887,0.0,NORMAL
13,2026-06-01 03:15:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,3.0,3.0,6.0,15.0,17.0,17.0,0.0,0.0,0.0,5.04,1.784,50.89,6.57,82.085,65.682,11.11,3.43,6.13,17.68,87.452,65.433,5.67,3.66,17.67,1.68,34.56,2.01,100.0,26.273,False,,0.0,61.652,0.0,0.0,0.0,0.296,3.92,2.0,-0.96,0.502,5.0,0.0,68.153,81.243,84.565,63.621,34.428,85.083,27.261,21.0,1.54,71.789,82.791,95.422,70.272,34.47,100.0,37.981,6.228,3.549,84.154,86.582,0.32,NORMAL
14,2026-06-01 03:30:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,0.0,3.0,4.0,15.0,17.0,17.0,0.0,0.0,0.0,0.0,1.982,50.42,6.54,81.324,65.443,11.58,3.46,6.27,17.99,84.649,63.684,5.62,3.65,17.73,1.67,34.316,1.53,38.658,26.177,False,,0.0,55.347,0.0,0.0,0.0,0.277,3.92,0.0,-1.28,0.382,9.0,0.0,67.451,80.371,83.656,62.938,33.54,29.092,26.98,18.0,0.0,73.559,84.054,87.49,65.822,33.96,78.725,29.424,6.029,6.006,85.537,86.368,0.64,NORMAL
15,2026-06-01 03:45:00+00:00,3,0,0.707107,0.707107,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,14.0,18.0,18.0,0.0,0.0,0.0,1.68,3.441,50.03,6.49,80.696,64.933,11.97,3.51,6.27,17.99,83.995,63.192,5.69,3.63,17.68,1.68,34.518,1.21,61.067,25.973,False,,0.0,57.005,0.0,0.0,0.0,0.259,3.92,-1.0,-1.28,0.302,11.0,0.0,67.087,80.384,83.67,62.948,32.498,24.3,26.835,21.0,0.0,73.674,82.91,86.3,64.926,36.405,49.933,29.47,6.055,3.453,85.381,87.442,0.48,NORMAL
