step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,2.16,0.72,0.3333,11.491,1.187,80.19,6.39,80.191,63.853,19.81,3.61,5.73,16.81,100.0,100.0,6.2,4.78,16.02,1.98,40.661,5.68,100.0,38.501,False,,3.0,68.455,0.0,0.0,0.0,2.16,2.16,0.0,0.0,1.96,5.0,0.0,66.594,80.746,100.0,100.0,36.394,100.0,26.638,9.0,0.0,65.85,79.811,100.0,100.0,36.674,81.808,26.34,6.72,3.744,76.967,81.271,0.26,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.19,0.1944,5.309,2.53,80.69,6.58,80.688,65.831,19.31,3.42,6.26,17.98,100.0,100.0,6.55,4.55,15.9,2.0,41.094,5.36,100.0,26.333,False,,0.0,67.616,-2.16,0.0,0.0,1.08,2.16,0.0,0.0,1.34,4.0,0.0,67.308,80.655,100.0,100.0,37.956,91.383,26.923,11.0,0.0,65.023,79.673,100.0,100.0,37.834,78.617,26.009,0.0,3.702,76.601,80.382,0.0,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.68,2.456,80.44,6.64,80.441,66.359,19.56,3.36,6.27,17.99,100.0,100.0,6.42,4.37,16.21,1.94,39.958,5.04,99.358,26.544,False,,0.0,67.507,0.0,-2.16,0.0,0.72,2.16,0.0,0.0,1.26,4.0,0.0,67.714,80.735,100.0,100.0,36.344,100.0,27.086,12.0,0.0,65.63,80.155,100.0,100.0,37.499,100.0,26.252,1.68,1.67,75.785,80.466,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.68,1.803,80.41,6.64,80.406,66.407,19.59,3.36,5.93,17.24,100.0,100.0,6.33,4.23,16.44,1.9,39.109,4.72,96.167,26.563,False,,0.0,67.146,0.0,0.0,0.0,0.54,2.16,0.0,0.0,1.18,4.0,0.0,65.835,80.144,100.0,100.0,36.481,59.4,26.334,10.0,0.0,65.735,79.861,100.0,100.0,36.105,73.833,26.294,5.04,1.979,77.927,81.017,0.0,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,3.36,1.923,80.75,6.66,80.746,66.594,19.25,3.34,6.27,17.99,100.0,100.0,5.71,4.11,17.17,1.77,36.394,4.56,100.0,26.638,False,,0.0,67.358,0.0,0.0,-2.16,0.432,2.16,4.0,-1.12,1.14,5.0,0.0,65.85,79.811,100.0,100.0,36.674,81.808,26.34,10.0,0.0,64.785,79.793,100.0,100.0,35.442,43.442,25.914,6.72,2.183,80.027,81.941,0.16,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,3.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,1.68,1.758,80.66,6.73,80.655,67.308,19.34,3.27,6.27,17.99,100.0,100.0,6.22,4.03,16.75,1.84,37.956,4.24,91.383,26.923,False,,0.0,66.846,0.0,0.0,0.0,0.36,2.16,3.0,-1.12,1.06,4.0,0.0,65.023,79.673,100.0,100.0,37.834,78.617,26.009,13.0,0.0,66.176,80.46,100.0,100.0,34.852,100.0,26.47,5.04,3.093,80.727,82.358,0.16,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,6.0,9.0,9.0,9.0,0.0,0.0,0.0,3.36,2.88,80.73,6.77,80.735,67.714,19.27,3.23,5.44,16.17,100.0,100.0,5.84,3.97,17.19,1.77,36.344,4.09,100.0,27.086,False,,0.0,67.575,0.0,0.0,0.0,0.309,2.16,3.0,-0.95,1.022,6.0,0.0,65.63,80.155,100.0,100.0,37.499,100.0,26.252,15.0,0.0,65.934,80.01,100.0,100.0,34.597,38.658,26.374,8.4,3.883,83.509,83.209,0.48,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.116,80.14,6.58,80.144,65.835,19.86,3.42,6.27,17.99,100.0,100.0,5.95,3.9,17.15,1.77,36.481,3.61,59.4,26.334,False,,0.0,63.428,0.0,0.0,0.0,0.27,2.16,1.0,-1.11,0.902,4.0,0.0,65.735,79.861,100.0,100.0,36.105,73.833,26.294,17.0,0.0,65.422,79.64,100.0,100.0,34.79,61.067,26.169,3.36,2.711,83.22,83.4,0.32,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,1.68,3.006,79.81,6.58,79.811,65.85,20.19,3.42,5.94,17.27,100.0,100.0,6.06,3.84,17.1,1.78,36.674,3.29,81.808,26.34,False,,0.0,65.392,0.0,0.0,0.0,0.24,2.16,-1.0,-1.27,0.822,4.0,0.0,64.785,79.793,100.0,100.0,35.442,43.442,25.914,17.0,0.0,67.277,79.831,100.0,100.0,34.253,100.0,26.911,5.04,4.268,84.42,83.473,0.33,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,11.0,11.0,11.0,0.0,0.0,0.0,1.68,2.559,79.67,6.5,79.673,65.023,20.33,3.5,6.27,17.99,100.0,100.0,6.42,3.79,16.78,1.84,37.834,2.97,78.617,26.009,False,,0.0,65.013,0.0,0.0,0.0,0.216,2.16,-1.0,-1.27,0.742,7.0,0.0,66.176,80.46,100.0,100.0,34.852,100.0,26.47,18.0,0.0,68.637,79.943,100.0,100.0,34.686,85.083,27.455,3.36,3.148,84.162,83.552,0.17,NORMAL
