step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,2.26,0.72,0.3186,11.323,1.187,80.15,5.38,80.151,67.287,19.85,2.62,5.73,16.81,100.0,100.0,6.07,4.67,16.26,1.93,39.785,5.68,100.0,40.475,False,,3.2,69.118,0.0,0.0,0.0,2.26,2.26,0.0,0.0,1.985,5.0,0.0,71.04,80.731,100.0,100.0,33.4,100.0,28.416,9.0,0.0,70.284,79.791,100.0,100.0,32.799,81.808,28.114,6.72,3.808,83.47,81.395,0.26,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.2,0.2034,5.477,2.507,80.68,5.59,80.684,69.909,19.32,2.41,6.26,17.98,100.0,100.0,6.31,4.35,16.33,1.92,39.506,5.36,100.0,27.964,False,,0.0,68.288,-2.26,0.0,0.0,1.13,2.26,0.0,0.0,1.34,4.0,0.0,71.933,80.642,100.0,100.0,34.661,91.383,28.773,11.0,0.0,69.309,79.649,100.0,100.0,33.841,78.617,27.724,0.0,3.773,82.198,80.554,0.0,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.68,2.453,80.43,5.65,80.433,70.629,19.57,2.35,6.27,17.99,100.0,100.0,6.1,4.1,16.8,1.84,37.795,5.04,99.358,28.252,False,,0.0,68.165,0.0,-2.26,0.0,0.753,2.26,0.0,0.0,1.26,4.0,0.0,72.499,80.719,100.0,100.0,32.81,100.0,29.0,12.0,0.0,70.125,80.126,100.0,100.0,33.414,100.0,28.05,1.68,1.768,80.572,80.662,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.68,1.798,80.39,5.66,80.394,70.748,19.61,2.34,5.93,17.24,100.0,100.0,5.94,3.91,17.15,1.77,36.485,4.72,96.167,28.299,False,,0.0,67.775,0.0,0.0,0.0,0.565,2.26,0.0,0.0,1.18,4.0,0.0,70.208,80.126,100.0,100.0,32.756,59.4,28.083,10.0,0.0,70.313,79.831,100.0,100.0,31.95,73.833,28.125,5.04,2.091,83.25,81.185,0.0,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,3.36,1.917,80.73,5.68,80.731,71.04,19.27,2.32,6.27,17.99,100.0,100.0,5.27,3.75,17.98,1.62,33.4,4.56,100.0,28.416,False,,0.0,67.975,0.0,0.0,-2.26,0.452,2.26,4.0,-1.12,1.14,5.0,0.0,70.284,79.791,100.0,100.0,32.799,81.808,28.114,9.0,0.0,69.183,79.759,100.0,100.0,31.233,43.442,27.673,6.72,2.279,85.102,82.147,0.16,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,3.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,1.68,1.75,80.64,5.75,80.642,71.933,19.36,2.25,6.27,17.99,100.0,100.0,5.73,3.63,17.64,1.68,34.661,4.24,91.383,28.773,False,,0.0,67.472,0.0,0.0,0.0,0.377,2.26,3.0,-1.12,1.06,4.0,0.0,69.309,79.649,100.0,100.0,33.841,78.617,27.724,12.0,0.0,70.978,80.421,100.0,100.0,30.604,100.0,28.391,5.04,3.211,85.318,82.587,0.16,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,6.0,9.0,9.0,9.0,0.0,0.0,0.0,3.36,2.872,80.72,5.8,80.719,72.499,19.28,2.2,5.44,16.17,100.0,100.0,5.31,3.54,18.14,1.59,32.81,4.09,100.0,29.0,False,,0.0,68.211,0.0,0.0,0.0,0.323,2.26,3.0,-0.95,1.022,6.0,0.0,70.125,80.126,100.0,100.0,33.414,100.0,28.05,15.0,0.0,70.732,79.973,100.0,100.0,30.321,38.658,28.293,8.4,4.014,88.245,83.449,0.48,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.107,80.13,5.62,80.126,70.208,19.87,2.38,6.27,17.99,100.0,100.0,5.39,3.45,18.16,1.59,32.756,3.61,59.4,28.083,False,,0.0,63.963,0.0,0.0,0.0,0.282,2.26,1.0,-1.11,0.902,4.0,0.0,70.313,79.831,100.0,100.0,31.95,73.833,28.125,17.0,0.0,70.148,79.6,100.0,100.0,30.495,61.067,28.059,3.36,2.848,87.424,83.643,0.32,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,1.68,2.996,79.79,5.62,79.791,70.284,20.21,2.38,5.94,17.27,100.0,100.0,5.47,3.38,18.14,1.59,32.799,3.29,81.808,28.114,False,,0.0,65.925,0.0,0.0,0.0,0.251,2.26,-1.0,-1.27,0.822,4.0,0.0,69.183,79.759,100.0,100.0,31.233,43.442,27.673,17.0,0.0,72.523,79.787,100.0,100.0,29.948,100.0,29.009,3.36,2.52,86.581,83.92,0.17,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,11.0,11.0,11.0,0.0,0.0,0.0,1.68,2.559,79.65,5.54,79.649,69.309,20.35,2.46,6.27,17.99,100.0,100.0,5.82,3.31,17.86,1.64,33.841,2.97,78.617,27.724,False,,0.0,65.506,0.0,0.0,0.0,0.226,2.26,-1.0,-1.27,0.742,7.0,0.0,70.978,80.421,100.0,100.0,30.604,100.0,28.391,18.0,0.0,74.279,79.894,100.0,100.0,30.375,85.083,29.711,3.36,5.039,86.785,83.484,0.01,NORMAL
10,2026-06-01 02:30:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,2.0,3.0,4.0,13.0,13.0,13.0,0.0,0.0,0.0,3.36,1.19,80.13,5.61,80.126,70.125,19.87,2.39,6.27,17.99,100.0,100.0,5.75,3.27,17.98,1.62,33.414,2.81,100.0,28.05,False,,0.0,67.66,0.0,0.0,0.0,0.205,2.26,-2.0,-1.28,0.702,6.0,0.0,70.732,79.973,100.0,100.0,30.321,38.658,28.293,16.0,0.0,73.454,79.362,100.0,100.0,29.481,29.092,29.381,6.72,3.829,87.447,84.154,0.17,NORMAL
