step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,2.0,2.0,2.0,2.0,2.0,4.36,0.72,0.1651,9.475,0.879,58.86,5.29,79.543,66.093,15.14,2.71,2.71,9.29,100.0,100.0,6.11,4.74,11.15,1.95,49.333,6.15,100.0,52.597,False,,7.3,70.948,0.0,0.0,0.0,4.36,4.36,0.0,0.0,2.628,7.0,0.0,74.525,83.35,100.0,100.0,42.497,100.0,29.81,8.0,0.0,73.931,81.982,100.0,100.0,40.158,100.0,29.572,1.68,4.438,83.07,82.179,8.55,MODERATE
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,4.0,4.0,4.0,4.0,4.0,1.16,0.39,0.3388,8.739,1.985,60.27,5.57,81.446,69.592,13.73,2.43,4.18,12.52,100.0,100.0,5.58,4.44,11.97,1.8,45.572,6.31,100.0,34.786,False,,2.1,69.68,-3.2,0.0,0.0,2.76,4.36,0.0,0.0,1.868,5.0,0.0,74.8,83.494,100.0,100.0,39.453,100.0,29.92,9.0,0.0,73.99,81.362,100.0,100.0,40.533,100.0,29.596,6.72,3.953,85.503,82.85,9.03,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,3.0,5.0,7.0,7.0,7.0,7.0,0.0,0.1,0.1042,6.986,2.07,61.26,5.81,82.783,72.589,12.74,2.19,3.53,11.09,100.0,100.0,5.77,4.19,12.03,1.79,45.296,6.62,100.0,29.036,False,,0.0,69.807,-1.16,-4.36,0.0,1.84,4.36,0.0,0.0,1.655,4.0,0.0,75.692,83.105,100.0,100.0,41.605,100.0,30.277,11.0,0.0,72.997,81.067,100.0,100.0,42.075,100.0,29.199,0.0,3.916,83.896,81.701,8.86,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,5.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,3.36,1.775,61.58,5.88,83.217,73.528,12.42,2.12,4.18,12.52,100.0,100.0,5.5,4.0,12.5,1.71,43.191,6.77,100.0,29.411,False,,0.0,69.901,0.0,-1.16,0.0,1.38,4.36,0.0,0.0,1.692,4.0,0.0,76.24,82.98,100.0,100.0,39.825,100.0,30.496,12.0,0.0,73.795,81.649,100.0,100.0,41.763,100.0,29.518,1.68,1.906,81.99,81.831,8.85,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,4.0,9.0,11.0,11.0,11.0,0.0,0.0,0.0,3.36,2.647,61.68,5.96,83.35,74.525,12.32,2.04,3.84,11.77,100.0,100.0,5.49,3.86,12.65,1.68,42.497,6.93,100.0,29.81,False,,0.0,70.067,0.0,0.0,-4.36,1.104,4.36,7.0,0.78,1.732,4.0,0.0,73.931,81.982,100.0,100.0,40.158,100.0,29.572,10.0,0.0,73.966,81.131,100.0,100.0,40.137,100.0,29.586,6.72,0.802,83.119,83.708,9.33,MODERATE
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,4.0,9.0,13.0,13.0,13.0,0.0,0.0,0.0,3.36,2.845,61.79,5.98,83.494,74.8,12.21,2.02,4.18,12.52,100.0,100.0,4.93,3.74,13.32,1.56,39.453,7.08,100.0,29.92,False,,0.0,69.879,0.0,0.0,-1.16,0.92,4.36,5.0,0.77,1.77,5.0,0.0,73.99,81.362,100.0,100.0,40.533,100.0,29.596,10.0,0.0,72.818,80.962,100.0,100.0,39.397,100.0,29.127,5.04,2.906,84.101,84.323,9.64,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,3.0,7.0,14.0,14.0,14.0,0.0,0.0,0.0,1.68,2.546,61.5,6.06,83.105,75.692,12.5,1.94,4.18,12.52,100.0,100.0,5.49,3.66,12.85,1.65,41.605,7.07,100.0,30.277,False,,0.0,70.166,0.0,0.0,0.0,0.789,4.36,0.0,0.45,1.768,4.0,0.0,72.997,81.067,100.0,100.0,42.075,100.0,29.199,13.0,0.0,74.595,81.81,100.0,100.0,38.736,100.0,29.838,5.04,3.547,84.481,84.786,9.95,MODERATE
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,7.0,16.0,16.0,16.0,0.0,0.0,0.0,3.36,3.554,61.41,6.1,82.98,76.24,12.59,1.9,3.35,10.69,100.0,100.0,5.16,3.6,13.24,1.58,39.825,7.23,100.0,30.496,False,,0.0,70.088,0.0,0.0,0.0,0.69,4.36,-2.0,0.46,1.808,6.0,0.0,73.795,81.649,100.0,100.0,41.763,100.0,29.518,15.0,0.0,74.332,81.119,100.0,100.0,38.478,100.0,29.733,7.058,4.295,86.833,85.465,10.59,MODERATE
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,0.0,2.0,5.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,3.692,60.67,5.91,81.982,73.931,13.33,2.09,4.18,12.52,100.0,100.0,5.3,3.53,13.17,1.59,40.158,7.06,100.0,29.572,False,,0.0,69.436,0.0,0.0,0.0,0.613,4.36,-4.0,0.13,1.765,4.0,0.0,73.966,81.131,100.0,100.0,40.137,100.0,29.586,17.0,0.0,73.731,80.546,100.0,100.0,38.763,100.0,29.492,6.382,4.17,88.712,86.01,10.9,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,17.0,17.0,17.0,0.0,0.0,0.0,1.68,3.498,60.21,5.92,81.362,73.99,13.79,2.08,3.85,11.79,100.0,100.0,5.44,3.48,13.08,1.61,40.533,7.05,100.0,29.596,False,,0.0,69.346,0.0,0.0,0.0,0.552,4.36,-5.0,-0.03,1.762,4.0,0.0,72.818,80.962,100.0,100.0,39.397,100.0,29.127,17.0,0.0,76.089,80.81,100.0,100.0,38.148,100.0,30.435,3.36,4.601,88.722,85.589,11.05,NORMAL
