step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,2.16,0.72,0.3333,11.491,0.684,80.25,6.45,80.25,64.516,19.75,3.55,4.92,15.03,100.0,100.0,5.66,4.79,16.55,1.88,38.705,5.68,100.0,38.766,False,,3.0,68.424,0.0,0.0,0.0,2.16,2.16,0.0,0.0,1.96,3.0,0.0,67.479,79.681,100.0,100.0,38.179,100.0,26.991,9.0,0.0,63.783,78.232,100.0,98.811,37.587,77.008,25.513,1.68,1.131,66.948,79.064,0.0,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.19,0.1944,5.309,3.382,80.51,6.67,80.511,66.726,19.49,3.33,6.27,17.99,100.0,100.0,5.86,4.56,16.58,1.88,38.596,5.36,100.0,26.691,False,,0.0,67.531,-2.16,0.0,0.0,1.08,2.16,0.0,0.0,1.34,2.0,0.0,66.456,79.158,100.0,100.0,36.409,62.583,26.582,9.0,0.0,64.396,78.718,100.0,99.425,37.187,100.0,25.758,0.0,1.318,65.445,78.885,0.0,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.077,80.08,6.58,80.08,65.845,19.92,3.42,6.16,17.76,100.0,100.0,5.78,4.38,16.85,1.83,37.597,4.88,72.158,26.338,False,,0.0,64.665,0.0,-2.16,0.0,0.72,2.16,0.0,0.0,1.22,4.0,0.0,64.582,78.674,100.0,99.369,36.418,57.792,25.833,9.0,0.0,64.506,78.45,100.0,99.085,35.741,72.225,25.803,1.68,2.651,66.159,78.571,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.68,2.945,79.69,6.66,79.692,66.559,20.31,3.34,6.27,17.99,100.0,100.0,5.77,4.23,17.0,1.8,37.03,4.56,94.567,26.624,False,,0.0,66.688,0.0,0.0,0.0,0.54,2.16,0.0,0.0,1.14,5.0,0.0,64.603,78.365,100.0,100.0,36.508,80.2,25.841,8.0,0.0,63.563,78.386,100.0,100.0,35.037,41.833,25.425,1.68,0.859,66.549,78.737,0.0,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,3.36,3.037,79.68,6.75,79.681,67.479,20.32,3.25,6.27,17.99,100.0,100.0,6.18,4.13,16.69,1.86,38.179,4.4,100.0,26.991,False,,0.0,67.462,0.0,0.0,-2.16,0.432,2.16,3.0,-1.28,1.1,4.0,0.0,63.783,78.232,100.0,98.811,37.587,77.008,25.513,9.0,0.0,64.959,79.056,100.0,100.0,34.414,100.0,25.984,1.68,1.696,67.263,78.662,0.0,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.5,79.16,6.65,79.158,66.456,20.84,3.35,5.44,16.17,100.0,100.0,5.8,4.03,17.17,1.77,36.409,3.92,62.583,26.582,False,,0.0,63.615,0.0,0.0,0.0,0.36,2.16,1.0,-1.44,0.98,6.0,0.0,64.396,78.718,100.0,99.425,37.187,100.0,25.758,8.0,0.0,64.723,78.675,100.0,99.371,34.133,37.05,25.889,5.04,2.719,68.972,79.071,0.0,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.684,78.67,6.46,78.674,64.582,21.33,3.54,6.27,17.99,100.0,99.369,5.9,3.94,17.17,1.77,36.418,3.45,57.792,25.833,False,,0.0,62.628,0.0,0.0,0.0,0.309,2.16,1.0,-1.43,0.862,4.0,0.0,64.506,78.45,100.0,99.085,35.741,72.225,25.803,10.0,0.0,64.217,78.31,100.0,98.909,34.306,59.458,25.687,0.0,0.68,68.497,78.948,0.0,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,1.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,1.68,2.907,78.37,6.46,78.365,64.603,21.63,3.54,5.94,17.27,100.0,100.0,6.0,3.86,17.14,1.77,36.508,3.13,80.2,25.841,False,,0.0,64.665,0.0,0.0,0.0,0.27,2.16,0.0,-1.43,0.782,4.0,0.0,63.563,78.386,100.0,100.0,35.037,41.833,25.425,10.0,0.0,64.708,78.293,100.0,98.887,36.711,56.267,25.883,3.36,0.4,69.104,79.628,0.0,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,1.68,2.54,78.23,6.38,78.232,63.783,21.77,3.62,6.27,17.99,100.0,98.811,6.36,3.79,16.85,1.83,37.587,2.81,77.008,25.513,False,,0.0,64.139,0.0,0.0,0.0,0.24,2.16,-2.0,-1.59,0.702,5.0,0.0,64.959,79.056,100.0,100.0,34.414,100.0,25.984,10.0,0.0,64.116,78.491,100.0,99.138,36.441,53.075,25.646,8.4,2.105,71.719,80.94,0.32,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,2.0,3.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,3.36,1.172,78.72,6.44,78.718,64.396,21.28,3.56,6.27,17.99,100.0,99.425,6.3,3.74,16.96,1.81,37.187,2.65,100.0,25.758,False,,0.0,66.475,0.0,0.0,0.0,0.216,2.16,1.0,-1.27,0.662,3.0,0.0,64.723,78.675,100.0,99.371,34.133,37.05,25.889,10.0,0.0,64.631,78.886,100.0,99.637,36.444,77.083,25.852,3.36,2.752,73.147,80.949,0.16,NORMAL
