step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,2.16,0.72,0.3333,11.491,1.187,80.19,6.39,80.191,63.853,19.81,3.61,5.73,9.53,100.0,100.0,6.2,4.78,16.02,1.98,40.661,5.68,100.0,38.501,False,,3.0,68.455,0.0,0.0,0.0,2.16,2.16,0.0,0.0,1.96,5.0,0.0,66.074,81.047,100.0,100.0,35.775,100.0,26.43,9.0,0.0,65.337,79.972,100.0,100.0,36.259,81.808,26.135,6.72,3.841,76.223,81.416,0.26,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.19,0.1944,5.309,2.53,80.69,6.58,80.688,65.831,19.31,3.42,6.26,10.7,100.0,100.0,6.55,4.55,15.9,2.0,41.094,5.36,100.0,26.333,False,,0.0,67.616,-2.16,0.0,0.0,1.08,2.16,0.0,0.0,1.34,4.0,0.0,66.788,80.913,100.0,100.0,37.403,91.383,26.715,11.0,0.0,64.513,79.834,100.0,100.0,37.451,78.617,25.805,0.0,3.785,75.861,80.506,0.0,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.256,80.45,6.51,80.445,65.117,19.55,3.49,6.27,10.71,100.0,100.0,6.22,4.35,16.43,1.9,39.158,4.88,72.158,26.047,False,,0.0,64.74,0.0,-2.16,0.0,0.72,2.16,0.0,0.0,1.22,4.0,0.0,67.197,80.955,100.0,100.0,35.847,100.0,26.879,12.0,0.0,65.123,80.315,100.0,100.0,37.141,100.0,26.049,1.68,1.741,75.049,80.572,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.36,1.805,80.76,6.59,80.757,65.885,19.24,3.41,5.93,9.96,100.0,100.0,6.16,4.21,16.63,1.87,38.409,4.72,100.0,26.354,False,,0.0,67.4,0.0,0.0,0.0,0.54,2.16,0.0,0.0,1.18,4.0,0.0,65.32,80.332,100.0,100.0,36.029,59.4,26.128,10.0,0.0,65.23,79.998,100.0,100.0,35.769,73.833,26.092,5.04,2.04,77.191,81.108,0.0,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,4.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,3.36,2.125,81.05,6.61,81.047,66.074,18.95,3.39,6.27,10.71,100.0,100.0,5.57,4.09,17.34,1.74,35.775,4.56,100.0,26.43,False,,0.0,67.265,0.0,0.0,-2.16,0.432,2.16,4.0,-1.12,1.14,5.0,0.0,65.337,79.972,100.0,100.0,36.259,81.808,26.135,9.0,0.0,64.282,79.929,100.0,100.0,35.123,43.442,25.713,6.72,2.235,79.294,82.019,0.16,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,3.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,1.68,1.931,80.91,6.68,80.913,66.788,19.09,3.32,6.27,10.71,100.0,100.0,6.09,4.01,16.9,1.82,37.403,4.24,91.383,26.715,False,,0.0,66.749,0.0,0.0,0.0,0.36,2.16,3.0,-1.12,1.06,4.0,0.0,64.513,79.834,100.0,100.0,37.451,78.617,25.805,12.0,0.0,65.675,80.595,100.0,100.0,34.549,100.0,26.27,5.04,3.137,80.114,82.412,0.16,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,3.0,7.0,9.0,9.0,9.0,0.0,0.0,0.0,3.36,3.027,80.96,6.72,80.955,67.197,19.04,3.28,5.44,8.89,100.0,100.0,5.73,3.95,17.32,1.74,35.847,4.09,100.0,26.879,False,,0.0,67.476,0.0,0.0,0.0,0.309,2.16,5.0,-0.79,1.022,6.0,0.0,65.123,80.315,100.0,100.0,37.141,100.0,26.049,15.0,0.0,65.436,80.126,100.0,100.0,34.306,38.658,26.175,8.4,3.914,82.998,83.246,0.48,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,3.242,80.33,6.53,80.332,65.32,19.67,3.47,6.27,10.71,100.0,100.0,5.85,3.88,17.27,1.75,36.029,3.61,59.4,26.128,False,,0.0,63.326,0.0,0.0,0.0,0.27,2.16,1.0,-1.11,0.902,4.0,0.0,65.23,79.998,100.0,100.0,35.769,73.833,26.092,17.0,0.0,64.926,79.739,100.0,100.0,34.509,61.067,25.97,3.36,2.732,82.793,83.423,0.32,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,1.68,3.114,79.97,6.53,79.972,65.337,20.03,3.47,5.94,9.99,100.0,100.0,5.97,3.82,17.21,1.76,36.259,3.29,81.808,26.135,False,,0.0,65.287,0.0,0.0,0.0,0.24,2.16,-1.0,-1.27,0.822,4.0,0.0,64.282,79.929,100.0,100.0,35.123,43.442,25.713,17.0,0.0,66.784,79.93,100.0,100.0,33.981,100.0,26.714,1.68,4.04,82.962,82.816,0.01,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,11.0,11.0,11.0,0.0,0.0,0.0,1.68,2.561,79.83,6.45,79.834,64.513,20.17,3.55,6.27,10.71,100.0,100.0,6.35,3.77,16.89,1.82,37.451,2.97,78.617,25.805,False,,0.0,64.912,0.0,0.0,0.0,0.216,2.16,-1.0,-1.27,0.742,7.0,0.0,65.675,80.595,100.0,100.0,34.549,100.0,26.27,18.0,0.0,68.146,80.041,100.0,100.0,34.421,85.083,27.259,3.36,3.524,82.342,82.837,0.0,NORMAL
10,2026-06-01 02:30:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,2.0,3.0,4.0,13.0,13.0,13.0,0.0,0.0,0.0,3.36,1.193,80.32,6.51,80.315,65.123,19.68,3.49,6.27,10.71,100.0,100.0,6.3,3.73,16.97,1.81,37.141,2.81,100.0,26.049,False,,0.0,67.037,0.0,0.0,0.0,0.196,2.16,-3.0,-1.28,0.702,6.0,0.0,65.436,80.126,100.0,100.0,34.306,38.658,26.175,16.0,0.0,67.445,79.507,100.0,100.0,33.534,29.092,26.978,8.4,3.459,83.953,83.912,0.32,NORMAL
