step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,2.16,0.72,0.3333,11.491,1.187,80.19,6.39,80.191,63.853,19.81,3.61,5.73,16.81,100.0,100.0,6.2,4.78,16.02,1.98,40.661,5.99,100.0,38.501,False,,3.0,68.455,0.0,0.0,0.0,2.16,2.16,0.0,0.0,2.038,5.0,0.0,66.074,81.047,100.0,100.0,35.775,100.0,26.43,9.0,0.0,65.112,80.143,100.0,100.0,36.006,100.0,26.045,6.72,3.961,75.209,81.594,8.07,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.19,0.1944,5.309,2.53,80.69,6.58,80.688,65.831,19.31,3.42,6.26,17.98,100.0,100.0,6.55,4.55,15.9,2.0,41.094,5.99,100.0,26.333,False,,0.0,67.616,-2.16,0.0,0.0,1.08,2.16,0.0,0.0,1.498,4.0,0.0,65.815,80.715,100.0,100.0,34.337,100.0,26.326,11.0,0.0,64.289,79.984,100.0,100.0,37.224,100.0,25.716,0.0,3.887,74.851,80.658,7.91,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.256,80.45,6.51,80.445,65.117,19.55,3.49,6.27,17.99,100.0,100.0,6.22,4.35,16.43,1.9,39.158,5.82,100.0,26.047,False,,0.0,67.246,0.0,-2.16,0.0,0.72,2.16,0.0,0.0,1.455,5.0,0.0,66.252,80.782,100.0,100.0,35.521,100.0,26.501,12.0,0.0,64.899,80.465,100.0,100.0,36.937,100.0,25.96,1.68,1.828,74.044,80.702,7.9,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.36,1.805,80.76,6.59,80.757,65.885,19.24,3.41,5.93,17.24,100.0,100.0,6.16,4.21,16.63,1.87,38.409,5.97,100.0,26.354,False,,0.0,67.4,0.0,0.0,0.0,0.54,2.16,0.0,0.0,1.492,5.0,0.0,65.093,80.532,100.0,100.0,35.743,100.0,26.037,10.0,0.0,65.008,80.126,100.0,100.0,35.583,100.0,26.003,5.04,2.115,76.186,81.219,8.21,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,4.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,3.36,2.125,81.05,6.61,81.047,66.074,18.95,3.39,6.27,17.99,100.0,100.0,5.57,4.09,17.34,1.74,35.775,6.13,100.0,26.43,False,,0.0,67.265,0.0,0.0,-2.16,0.432,2.16,4.0,0.14,1.532,5.0,0.0,65.112,80.143,100.0,100.0,36.006,100.0,26.045,9.0,0.0,64.061,80.039,100.0,100.0,34.952,100.0,25.625,6.72,2.299,78.295,82.114,8.69,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.432,80.71,6.58,80.715,65.815,19.29,3.42,5.23,15.71,100.0,100.0,5.27,4.0,17.73,1.67,34.337,5.96,100.0,26.326,False,,0.0,67.011,0.0,0.0,0.0,0.36,2.16,2.0,-0.03,1.49,4.0,0.0,64.289,79.984,100.0,100.0,37.224,100.0,25.716,12.0,0.0,65.455,80.699,100.0,100.0,34.39,100.0,26.182,5.04,3.192,79.28,82.477,9.0,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,2.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,3.36,2.918,80.78,6.63,80.782,66.252,19.22,3.37,5.1,15.43,100.0,100.0,5.66,3.93,17.41,1.73,35.521,6.11,100.0,26.501,False,,0.0,67.219,0.0,0.0,0.0,0.309,2.16,4.0,0.29,1.528,6.0,0.0,64.899,80.465,100.0,100.0,36.937,100.0,25.96,14.0,0.0,65.217,80.215,100.0,100.0,34.157,100.0,26.087,8.4,3.951,82.301,83.287,9.63,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,1.0,3.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,1.68,3.143,80.53,6.51,80.532,65.093,19.47,3.49,6.27,17.99,100.0,100.0,5.79,3.86,17.35,1.74,35.743,6.11,100.0,26.037,False,,0.0,66.953,0.0,0.0,0.0,0.27,2.16,1.0,0.14,1.528,4.0,0.0,65.008,80.126,100.0,100.0,35.583,100.0,26.003,17.0,0.0,64.708,79.815,100.0,100.0,34.369,100.0,25.883,3.36,2.756,82.211,83.448,9.79,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,1.68,3.228,80.14,6.51,80.143,65.112,19.86,3.49,5.94,17.27,100.0,100.0,5.92,3.8,17.28,1.75,36.006,6.1,100.0,26.045,False,,0.0,66.894,0.0,0.0,0.0,0.24,2.16,-1.0,-0.03,1.525,4.0,0.0,64.061,80.039,100.0,100.0,34.952,100.0,25.625,17.0,0.0,66.567,80.005,100.0,100.0,33.848,100.0,26.627,1.68,4.054,82.475,82.828,9.78,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,5.0,11.0,11.0,11.0,0.0,0.0,0.0,1.68,2.643,79.98,6.43,79.984,64.289,20.02,3.57,6.27,17.99,100.0,100.0,6.3,3.75,16.95,1.81,37.224,6.09,100.0,25.716,False,,0.0,66.804,0.0,0.0,0.0,0.216,2.16,1.0,0.13,1.522,7.0,0.0,65.455,80.699,100.0,100.0,34.39,100.0,26.182,18.0,0.0,67.931,80.115,100.0,100.0,34.294,100.0,27.172,3.36,3.531,81.935,82.839,9.93,NORMAL
