step,timestamp,hour_of_day,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,shift_block,arrivals_15m,arrivals_30m,arrivals_1h,arrivals_3h,arrivals_6h,arrivals_24h,current_queue,critical_queue,priority_mix_critical,admissions_rate_1h,discharge_rate_1h,occupied_beds,occupied_icu,bed_occupancy,icu_occupancy,available_beds,available_icu,available_doctors,available_nurses,doctor_utilisation,nurse_utilisation,ventilators_in_use,monitors_in_use,available_equipment,reserved_equipment,equipment_utilisation,ot_backlog,ot_utilisation,emergency_resource_pressure,surge_active,surge_kind,waiting_minutes_mean,pressure_index,queue_change_15m,queue_change_30m,queue_change_1h,rolling_queue_mean,rolling_queue_max,arrival_rate_trend,ot_backlog_change_1h,queue_backlog_pressure,target_arrivals_1h,target_queue_1h,target_icu_occupancy_1h,target_bed_occupancy_1h,target_doctor_utilisation_1h,target_nurse_utilisation_1h,target_equipment_utilisation_1h,target_ot_utilisation_1h,target_emergency_resource_pressure_1h,target_arrivals_2h,target_queue_2h,target_icu_occupancy_2h,target_bed_occupancy_2h,target_doctor_utilisation_2h,target_nurse_utilisation_2h,target_equipment_utilisation_2h,target_ot_utilisation_2h,target_emergency_resource_pressure_2h,target_admissions_6h,target_discharges_6h,target_icu_occupancy_6h,target_bed_occupancy_6h,target_ot_backlog_6h,pressure_label
0,2026-06-01 00:00:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,1.0,1.0,1.0,1.0,2.16,0.72,0.3333,11.491,2.946,79.66,6.48,79.661,64.752,20.34,3.52,6.27,17.99,100.0,100.0,6.39,4.79,15.82,2.01,41.412,5.68,100.0,38.861,False,,3.0,68.585,0.0,0.0,0.0,2.16,2.16,0.0,0.0,1.96,4.0,0.0,65.538,79.998,100.0,100.0,39.417,65.775,26.215,9.0,0.0,65.949,80.132,100.0,100.0,35.674,80.208,26.38,5.04,1.318,68.415,79.371,0.0,NORMAL
1,2026-06-01 00:15:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.19,0.1944,6.989,1.712,80.77,6.69,80.766,66.892,19.23,3.31,5.3,15.86,100.0,100.0,6.57,4.57,15.86,2.01,41.269,5.52,100.0,26.757,False,,0.0,67.861,-2.16,0.0,0.0,1.08,2.16,0.0,0.0,1.38,5.0,0.0,66.304,80.374,100.0,100.0,38.677,100.0,26.522,8.0,0.0,65.954,79.555,100.0,100.0,37.992,77.017,26.382,1.68,1.503,68.385,79.418,0.0,NORMAL
2,2026-06-01 00:30:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,0.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.651,80.46,6.58,80.46,65.828,19.54,3.42,5.73,16.81,100.0,100.0,6.67,4.38,15.95,1.99,40.908,5.04,73.758,26.331,False,,0.0,65.187,0.0,-2.16,0.0,0.72,2.16,0.0,0.0,1.26,4.0,0.0,66.492,80.719,100.0,100.0,36.046,100.0,26.597,8.0,0.0,65.924,79.47,100.0,100.0,37.298,73.825,26.369,1.68,3.413,68.524,78.971,0.0,NORMAL
3,2026-06-01 00:45:00+00:00,0,0,0.0,1.0,0.0,1.0,False,False,NIGHT,1.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.68,2.684,80.17,6.63,80.166,66.255,19.83,3.37,6.26,17.98,100.0,100.0,6.93,4.23,15.84,2.01,41.336,4.72,96.167,26.502,False,,0.0,67.263,0.0,0.0,0.0,0.54,2.16,0.0,0.0,1.18,3.0,0.0,66.231,80.434,100.0,100.0,34.608,57.8,26.492,10.0,0.0,64.383,78.986,100.0,99.763,38.296,43.433,25.753,6.72,3.282,71.11,79.572,0.16,NORMAL
4,2026-06-01 01:00:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,1.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.957,80.0,6.55,79.998,65.538,20.0,3.45,6.27,17.99,100.0,100.0,6.54,4.11,16.36,1.92,39.417,4.24,65.775,26.215,False,,0.0,64.174,0.0,0.0,-2.16,0.432,2.16,2.0,-1.44,1.06,3.0,0.0,65.949,80.132,100.0,100.0,35.674,80.208,26.38,12.0,0.0,64.993,79.469,100.0,100.0,37.826,93.042,25.997,0.0,2.969,70.772,78.864,0.0,NORMAL
5,2026-06-01 01:15:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,2.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,3.36,1.55,80.37,6.63,80.374,66.304,19.63,3.37,5.93,17.24,100.0,100.0,6.43,4.01,16.56,1.88,38.677,4.08,100.0,26.522,False,,0.0,67.424,0.0,0.0,0.0,0.36,2.16,0.0,-1.44,1.02,4.0,0.0,65.954,79.555,100.0,100.0,37.992,77.017,26.382,10.0,0.0,65.101,79.198,100.0,100.0,36.322,64.25,26.04,1.68,1.436,69.984,79.003,0.0,NORMAL
6,2026-06-01 01:30:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,2.0,4.0,5.0,8.0,8.0,8.0,0.0,0.0,0.0,3.36,1.906,80.72,6.65,80.719,66.492,19.28,3.35,6.27,17.99,100.0,100.0,5.79,3.94,17.27,1.75,36.046,3.93,100.0,26.597,False,,0.0,67.301,0.0,0.0,0.0,0.309,2.16,2.0,-1.11,0.982,4.0,0.0,65.924,79.47,100.0,100.0,37.298,73.825,26.369,9.0,0.0,64.154,79.132,100.0,100.0,35.569,33.858,25.662,5.04,1.7,72.126,79.624,0.0,NORMAL
7,2026-06-01 01:45:00+00:00,1,0,0.258819,0.965926,0.0,1.0,False,False,NIGHT,0.0,2.0,4.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.244,80.43,6.62,80.434,66.231,19.57,3.38,5.23,15.71,100.0,100.0,5.46,3.88,17.66,1.68,34.608,3.45,57.8,26.492,False,,0.0,63.258,0.0,0.0,0.0,0.27,2.16,0.0,-1.27,0.862,3.0,0.0,64.383,78.986,100.0,99.763,38.296,43.433,25.753,11.0,0.0,65.547,79.801,100.0,100.0,34.904,100.0,26.219,6.72,1.595,74.254,80.693,0.16,NORMAL
8,2026-06-01 02:00:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,1.0,5.0,9.0,9.0,9.0,0.0,0.0,0.0,1.68,3.001,80.13,6.59,80.132,65.949,19.87,3.41,5.02,15.25,100.0,100.0,5.8,3.83,17.37,1.73,35.674,3.13,80.208,26.38,False,,0.0,65.248,0.0,0.0,0.0,0.24,2.16,2.0,-1.11,0.782,6.0,0.0,64.993,79.469,100.0,100.0,37.826,93.042,25.997,8.0,0.0,65.309,79.418,100.0,100.0,34.588,29.075,26.124,5.04,2.378,75.305,81.253,0.16,NORMAL
9,2026-06-01 02:15:00+00:00,2,0,0.5,0.866025,0.0,1.0,False,False,NIGHT,1.0,2.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,1.68,3.987,79.55,6.6,79.555,65.954,20.45,3.4,5.18,15.6,100.0,100.0,6.47,3.79,16.74,1.85,37.992,2.81,77.017,26.382,False,,0.0,65.044,0.0,0.0,0.0,0.216,2.16,1.0,-1.27,0.702,4.0,0.0,65.101,79.198,100.0,100.0,36.322,64.25,26.04,11.0,0.0,64.8,79.051,100.0,99.845,34.731,51.483,25.92,8.4,3.25,78.55,82.216,0.48,NORMAL
